contig	length	depth_mapped	gc	maxbin	metabat
k99_57171	21855	16592	49	maxbin_1	metabat_1
k99_4450	21845	16938	47	maxbin_1	metabat_1
k99_85911	21568	17601	49	maxbin_1	metabat_1
k99_37277	21358	16996	47	maxbin_1	metabat_1
k99_4123	21012	17496	47	maxbin_1	metabat_1
k99_3248	20910	16276	49	maxbin_1	metabat_1
k99_29511	20863	14558	52	maxbin_1	metabat_1
k99_44707	20662	16314	49	maxbin_1	metabat_1
k99_21164	20611	15782	48	maxbin_1	metabat_1
k99_43562	20226	16272	48	maxbin_1	metabat_1
k99_20511	20193	15394	48	maxbin_1	metabat_1
k99_9300	19923	15881	47	maxbin_1	metabat_1
k99_14482	19783	15629	48	maxbin_1	metabat_1
k99_42067	19724	15713	49	maxbin_1	metabat_1
k99_49136	19624	15257	47	maxbin_1	metabat_1
k99_8874	19520	14886	48	maxbin_1	metabat_1
k99_91760	19260	14939	47	maxbin_1	metabat_1
k99_82918	19127	16313	45	maxbin_1	metabat_1
k99_8780	19016	14831	47	maxbin_1	metabat_1
k99_31244	18951	16866	40	maxbin_2	metabat_1
k99_27160	18884	15210	48	maxbin_1	metabat_1
k99_70629	18551	14462	47	maxbin_1	metabat_1
k99_103582	18484	14489	46	maxbin_1	metabat_1
k99_45692	18438	14363	48	maxbin_1	metabat_1
k99_72407	18253	18246	47	maxbin_1	metabat_1
k99_58531	18072	14196	47	maxbin_1	metabat_1
k99_127551	17781	14169	48	maxbin_1	metabat_1
k99_63268	17624	14416	47	maxbin_1	metabat_1
k99_124692	17619	13895	49	maxbin_1	metabat_1
k99_117345	17517	14513	46	maxbin_1	metabat_1
k99_1288	17413	13529	48	maxbin_1	metabat_1
k99_124629	17176	14580	47	maxbin_1	metabat_1
k99_115824	17000	14157	46	maxbin_1	metabat_1
k99_67078	16990	13471	48	maxbin_1	metabat_1
k99_65711	16870	13688	47	maxbin_1	metabat_1
k99_52495	16837	13608	47	maxbin_1	metabat_1
k99_60980	16826	14142	47	maxbin_1	metabat_1
k99_23535	16803	13299	48	maxbin_1	metabat_1
k99_9215	16769	13657	49	maxbin_1	metabat_1
k99_26013	16711	13714	45	maxbin_1	metabat_1
k99_56044	16656	13844	47	maxbin_1	metabat_1
k99_34115	16636	12935	47	maxbin_1	metabat_1
k99_114877	16625	13103	47	maxbin_1	metabat_1
k99_125097	16615	13878	46	maxbin_1	metabat_1
k99_70881	16533	14954	48	maxbin_1	metabat_1
k99_65668	16494	13207	48	maxbin_1	metabat_1
k99_50459	16382	12566	48	maxbin_1	metabat_1
k99_59523	16291	12754	49	maxbin_1	metabat_1
k99_29808	16284	13219	46	maxbin_1	metabat_1
k99_74349	16269	12936	47	maxbin_1	metabat_1
k99_73612	16079	12556	48	maxbin_1	metabat_1
k99_29019	15980	12144	48	maxbin_1	metabat_1
k99_13090	15974	12786	48	maxbin_1	metabat_1
k99_25491	15857	12294	48	maxbin_1	metabat_1
k99_19381	15726	18671	47	maxbin_1	metabat_1
k99_11684	15691	12873	46	maxbin_1	metabat_1
k99_78537	15631	12346	48	maxbin_1	metabat_1
k99_98123	15546	12492	49	maxbin_1	metabat_1
k99_44416	15524	14177	49	maxbin_1	metabat_1
k99_16327	15505	12347	48	maxbin_1	metabat_1
k99_70968	15248	11519	50	maxbin_1	metabat_1
k99_122939	15091	12147	48	maxbin_1	metabat_1
k99_40464	15077	12086	47	maxbin_1	metabat_1
k99_32897	15046	12596	46	maxbin_1	metabat_1
k99_8574	15016	11835	48	maxbin_1	metabat_1
k99_21334	14892	11180	49	maxbin_1	metabat_1
k99_59212	14807	11748	49	maxbin_1	metabat_1
k99_57551	14711	11325	48	maxbin_1	metabat_1
k99_8372	14615	12183	49	maxbin_1	metabat_1
k99_11892	14542	13828	48	maxbin_1	metabat_1
k99_127574	14492	11328	48	maxbin_1	metabat_1
k99_64202	14331	11138	48	maxbin_1	metabat_1
k99_31964	14311	11736	48	maxbin_1	metabat_1
k99_13623	14301	11507	46	maxbin_1	metabat_1
k99_114327	14278	12095	47	maxbin_1	metabat_1
k99_103347	14278	10970	49	maxbin_1	metabat_1
k99_14738	14267	11353	47	maxbin_1	metabat_1
k99_10924	14209	11977	47	maxbin_1	metabat_1
k99_4752	14144	929	37	maxbin_2	metabat_2
k99_15383	14093	13805	49	maxbin_1	metabat_1
k99_81642	14092	11148	50	maxbin_1	metabat_1
k99_30606	14062	11819	47	maxbin_1	metabat_1
k99_54367	13969	10125	50	maxbin_1	metabat_1
k99_18837	13891	11591	45	maxbin_1	metabat_1
k99_11971	13873	11043	47	maxbin_1	metabat_1
k99_111508	13843	10439	49	maxbin_1	metabat_1
k99_2654	13831	10999	47	maxbin_1	metabat_1
k99_67755	13753	10458	48	maxbin_1	metabat_1
k99_61645	13725	10603	50	maxbin_1	metabat_1
k99_24628	13451	10819	47	maxbin_1	metabat_1
k99_16243	13373	10525	47	maxbin_1	metabat_1
k99_104520	13335	9901	48	maxbin_1	metabat_1
k99_71668	13322	11546	47	maxbin_1	metabat_1
k99_26557	13208	10466	48	maxbin_1	metabat_1
k99_8846	13145	9891	50	maxbin_1	metabat_1
k99_77695	13140	10258	49	maxbin_1	metabat_1
k99_81023	13027	11239	50	maxbin_1	metabat_1
k99_18156	12952	10302	48	maxbin_1	metabat_1
k99_62394	12895	9969	48	maxbin_1	metabat_1
k99_83210	12880	10079	48	maxbin_1	metabat_1
k99_6113	12793	10838	44	maxbin_1	metabat_1
k99_12207	12792	739	37	maxbin_2	metabat_2
k99_3791	12776	10161	49	maxbin_1	metabat_1
k99_29521	12408	10209	46	maxbin_1	metabat_1
k99_81301	12399	10892	48	maxbin_1	metabat_1
k99_96458	12380	9820	49	maxbin_1	metabat_1
k99_5259	12317	10076	44	maxbin_1	metabat_1
k99_68564	12208	10055	51	maxbin_1	metabat_1
k99_36194	12202	9430	49	maxbin_1	metabat_1
k99_22161	12134	11121	49	maxbin_1	metabat_1
k99_77262	12112	10182	47	maxbin_1	metabat_1
k99_72707	12085	9477	48	maxbin_1	metabat_1
k99_52798	12058	9907	49	maxbin_1	metabat_1
k99_16916	12009	10420	44	maxbin_1	metabat_1
k99_118899	11883	9993	45	maxbin_1	metabat_1
k99_31042	11849	9416	48	maxbin_1	metabat_1
k99_40831	11802	13914	47	maxbin_1	metabat_1
k99_109310	11749	9141	48	maxbin_1	metabat_1
k99_47571	11670	9469	48	maxbin_1	metabat_1
k99_115851	11635	8956	48	maxbin_1	metabat_1
k99_115179	11607	9307	47	maxbin_1	metabat_1
k99_80626	11580	9069	47	maxbin_1	metabat_1
k99_31967	11550	8517	48	maxbin_1	metabat_1
k99_26295	11421	9259	45	maxbin_1	metabat_1
k99_12827	11413	9336	46	maxbin_1	metabat_1
k99_33783	11366	9154	47	maxbin_1	metabat_1
k99_38277	11324	8922	48	maxbin_1	metabat_1
k99_25670	11310	9163	46	maxbin_1	metabat_1
k99_3093	11266	8064	51	maxbin_1	metabat_unbinned
k99_125840	11232	8708	48	maxbin_1	metabat_1
k99_125065	11232	9791	46	maxbin_1	metabat_1
k99_61713	11216	7803	34	maxbin_noclass	metabat_unbinned
k99_91507	11204	8392	48	maxbin_1	metabat_1
k99_5417	11082	8484	48	maxbin_1	metabat_1
k99_101343	11037	8900	48	maxbin_1	metabat_1
k99_77143	10998	8789	48	maxbin_1	metabat_1
k99_87530	10989	8494	47	maxbin_1	metabat_1
k99_35029	10960	9424	47	maxbin_1	metabat_1
k99_123816	10913	8094	47	maxbin_1	metabat_1
k99_71979	10892	9058	46	maxbin_1	metabat_1
k99_89560	10881	8341	49	maxbin_1	metabat_1
k99_77278	10791	8598	47	maxbin_1	metabat_1
k99_59319	10748	9444	48	maxbin_1	metabat_1
k99_7083	10743	7944	49	maxbin_1	metabat_1
k99_79848	10678	8125	49	maxbin_1	metabat_1
k99_53488	10670	8151	50	maxbin_1	metabat_1
k99_80868	10589	9418	41	maxbin_2	metabat_1
k99_46844	10498	8093	48	maxbin_1	metabat_1
k99_11525	10479	8116	48	maxbin_1	metabat_1
k99_68629	10431	8513	47	maxbin_1	metabat_1
k99_27933	10427	8291	47	maxbin_1	metabat_1
k99_64055	10423	8407	47	maxbin_1	metabat_1
k99_80436	10384	7828	48	maxbin_1	metabat_1
k99_33852	10379	8213	48	maxbin_1	metabat_1
k99_33529	10353	8993	46	maxbin_1	metabat_1
k99_29203	10244	11792	43	maxbin_1	metabat_1
k99_75328	10239	8806	45	maxbin_1	metabat_1
k99_82556	10206	7891	49	maxbin_1	metabat_1
k99_100718	10197	8484	46	maxbin_1	metabat_1
k99_30389	10094	722	35	maxbin_2	metabat_2
k99_75195	10090	8117	47	maxbin_1	metabat_1
k99_78085	10061	8551	44	maxbin_1	metabat_1
k99_103147	10045	7802	47	maxbin_1	metabat_1
k99_124078	9996	7721	48	maxbin_1	metabat_1
k99_32971	9954	7661	49	maxbin_1	metabat_1
k99_47009	9896	7941	48	maxbin_1	metabat_1
k99_23882	9878	7613	49	maxbin_1	metabat_1
k99_9953	9822	7620	48	maxbin_1	metabat_1
k99_41461	9795	7485	48	maxbin_1	metabat_1
k99_2254	9724	8461	45	maxbin_1	metabat_1
k99_88699	9679	7512	48	maxbin_1	metabat_1
k99_76750	9659	8531	46	maxbin_1	metabat_1
k99_77151	9640	7439	50	maxbin_1	metabat_1
k99_55941	9636	6989	49	maxbin_1	metabat_1
k99_17364	9631	7454	50	maxbin_1	metabat_1
k99_18651	9621	7381	49	maxbin_1	metabat_1
k99_28071	9615	7811	49	maxbin_1	metabat_1
k99_39748	9502	7266	47	maxbin_1	metabat_1
k99_2142	9450	7593	48	maxbin_1	metabat_1
k99_2506	9398	7163	50	maxbin_1	metabat_1
k99_54812	9331	7395	47	maxbin_1	metabat_1
k99_79374	9302	7379	50	maxbin_1	metabat_1
k99_39518	9298	7627	47	maxbin_1	metabat_1
k99_28275	9226	7381	47	maxbin_1	metabat_1
k99_87875	9223	7240	49	maxbin_1	metabat_1
k99_20826	9185	8088	48	maxbin_1	metabat_1
k99_54939	9156	6868	49	maxbin_1	metabat_1
k99_18974	9115	7642	44	maxbin_1	metabat_1
k99_68187	9105	7214	48	maxbin_1	metabat_1
k99_3895	9067	7792	45	maxbin_1	metabat_1
k99_34993	9045	7241	47	maxbin_1	metabat_1
k99_120413	9008	6951	48	maxbin_1	metabat_1
k99_11107	8989	7545	44	maxbin_1	metabat_1
k99_5522	8963	7096	50	maxbin_1	metabat_1
k99_14617	8906	7337	45	maxbin_1	metabat_1
k99_86170	8895	7162	47	maxbin_1	metabat_1
k99_9858	8836	7183	47	maxbin_1	metabat_1
k99_106877	8799	7374	45	maxbin_1	metabat_1
k99_77628	8657	7211	47	maxbin_1	metabat_1
k99_77952	8569	6988	47	maxbin_1	metabat_1
k99_71941	8498	6894	45	maxbin_1	metabat_1
k99_55164	8467	6661	49	maxbin_1	metabat_1
k99_115700	8456	6787	49	maxbin_1	metabat_1
k99_18632	8410	6581	50	maxbin_1	metabat_unbinned
k99_28365	8372	6646	47	maxbin_1	metabat_1
k99_18778	8287	7018	50	maxbin_1	metabat_1
k99_4351	8262	7860	48	maxbin_1	metabat_1
k99_17260	8254	752	36	maxbin_2	metabat_2
k99_95215	8252	6315	49	maxbin_1	metabat_1
k99_78476	8226	6550	48	maxbin_1	metabat_1
k99_57193	8222	6235	51	maxbin_1	metabat_1
k99_40023	8214	7057	46	maxbin_1	metabat_1
k99_96710	8180	718	36	maxbin_2	metabat_4
k99_50472	8176	6709	47	maxbin_1	metabat_1
k99_36799	8087	6285	49	maxbin_1	metabat_1
k99_39096	8079	6700	48	maxbin_1	metabat_1
k99_125989	8069	6209	50	maxbin_1	metabat_1
k99_50266	8044	6295	47	maxbin_1	metabat_1
k99_15255	7991	1378	37	maxbin_2	metabat_2
k99_46139	7961	6270	46	maxbin_1	metabat_1
k99_918	7828	6412	47	maxbin_1	metabat_1
k99_120714	7808	5788	48	maxbin_1	metabat_1
k99_118137	7737	6221	49	maxbin_1	metabat_1
k99_23899	7727	6862	48	maxbin_1	metabat_1
k99_125388	7673	6084	48	maxbin_1	metabat_1
k99_36821	7671	345	36	maxbin_2	metabat_2
k99_81813	7622	6050	47	maxbin_1	metabat_1
k99_98226	7606	8289	40	maxbin_2	metabat_1
k99_124124	7600	5822	49	maxbin_1	metabat_1
k99_45648	7571	7356	46	maxbin_1	metabat_1
k99_58826	7498	384	37	maxbin_2	metabat_2
k99_18483	7489	5771	47	maxbin_1	metabat_1
k99_73582	7443	5757	49	maxbin_1	metabat_1
k99_72102	7438	5606	49	maxbin_1	metabat_1
k99_42998	7426	5926	48	maxbin_1	metabat_1
k99_110446	7408	6219	50	maxbin_1	metabat_1
k99_51936	7401	6129	45	maxbin_1	metabat_1
k99_122563	7397	5781	46	maxbin_1	metabat_1
k99_25449	7396	6263	47	maxbin_1	metabat_1
k99_31968	7375	5857	48	maxbin_1	metabat_1
k99_35905	7369	6263	43	maxbin_1	metabat_1
k99_16952	7348	5725	47	maxbin_1	metabat_1
k99_30658	7328	11453	46	maxbin_1	metabat_1
k99_9990	7282	5879	47	maxbin_1	metabat_1
k99_5881	7277	437	39	maxbin_2	metabat_2
k99_37552	7226	6083	48	maxbin_1	metabat_1
k99_13848	7184	6225	48	maxbin_1	metabat_1
k99_44906	7162	917	39	maxbin_2	metabat_2
k99_24022	7133	5498	50	maxbin_1	metabat_1
k99_92744	7094	5814	49	maxbin_1	metabat_1
k99_57010	7085	5619	49	maxbin_1	metabat_1
k99_122232	7071	5959	46	maxbin_1	metabat_1
k99_1028	7046	6086	48	maxbin_1	metabat_1
k99_15998	6982	6682	47	maxbin_1	metabat_1
k99_54345	6929	1245	37	maxbin_2	metabat_2
k99_53433	6893	6193	48	maxbin_1	metabat_1
k99_38743	6869	5805	46	maxbin_1	metabat_1
k99_75573	6862	852	40	maxbin_2	metabat_2
k99_19388	6830	5536	45	maxbin_1	metabat_1
k99_64197	6819	5818	45	maxbin_1	metabat_1
k99_15501	6781	5397	46	maxbin_1	metabat_1
k99_72206	6780	5449	49	maxbin_1	metabat_1
k99_11204	6756	5322	48	maxbin_1	metabat_1
k99_37821	6749	6196	49	maxbin_1	metabat_1
k99_40650	6742	5766	48	maxbin_1	metabat_1
k99_92399	6734	6132	49	maxbin_1	metabat_1
k99_34419	6675	5115	48	maxbin_1	metabat_1
k99_40319	6643	5765	47	maxbin_1	metabat_1
k99_57213	6577	5366	45	maxbin_1	metabat_1
k99_39634	6560	5103	49	maxbin_1	metabat_1
k99_88073	6536	499	40	maxbin_2	metabat_2
k99_17741	6502	1464	40	maxbin_2	metabat_2
k99_64612	6490	5267	47	maxbin_1	metabat_1
k99_48926	6487	271	37	maxbin_2	metabat_2
k99_41028	6423	4908	47	maxbin_1	metabat_1
k99_19078	6388	5358	48	maxbin_1	metabat_1
k99_96804	6371	5297	47	maxbin_1	metabat_1
k99_23796	6341	4648	45	maxbin_1	metabat_unbinned
k99_2102	6324	333	44	maxbin_2	metabat_3
k99_9926	6284	411	36	maxbin_2	metabat_2
k99_4825	6278	6485	45	maxbin_1	metabat_1
k99_24137	6232	468	46	maxbin_1	metabat_unbinned
k99_75580	6201	303	36	maxbin_2	metabat_2
k99_72020	6182	257	44	maxbin_2	metabat_3
k99_44428	6181	281	42	maxbin_2	metabat_3
k99_57969	6136	4735	50	maxbin_1	metabat_1
k99_81854	6120	360	38	maxbin_2	metabat_4
k99_95419	6099	342	44	maxbin_2	metabat_3
k99_98855	6096	4569	49	maxbin_1	metabat_1
k99_42055	6080	347	45	maxbin_2	metabat_3
k99_5352	6075	306	34	maxbin_2	metabat_2
k99_28371	6017	250	42	maxbin_2	metabat_3
k99_70973	5986	5390	48	maxbin_1	metabat_1
k99_12388	5958	4724	48	maxbin_1	metabat_1
k99_87329	5956	421	38	maxbin_2	metabat_2
k99_75270	5948	4684	49	maxbin_1	metabat_1
k99_43386	5908	338	47	maxbin_2	metabat_3
k99_56485	5895	263	34	maxbin_2	metabat_2
k99_8809	5866	286	37	maxbin_2	metabat_2
k99_23889	5862	303	45	maxbin_2	metabat_3
k99_72402	5854	4832	48	maxbin_1	metabat_1
k99_31767	5853	254	36	maxbin_2	metabat_2
k99_21067	5840	336	40	maxbin_2	metabat_4
k99_124787	5818	5105	48	maxbin_1	metabat_1
k99_58994	5800	4546	47	maxbin_1	metabat_1
k99_21970	5777	4613	46	maxbin_1	metabat_1
k99_16239	5776	324	40	maxbin_2	metabat_4
k99_110087	5764	5294	47	maxbin_1	metabat_1
k99_78591	5750	4707	48	maxbin_1	metabat_1
k99_122401	5738	9137	53	maxbin_1	metabat_unbinned
k99_52915	5712	563	40	maxbin_2	metabat_4
k99_77954	5707	3862	33	maxbin_noclass	metabat_unbinned
k99_77420	5702	4081	48	maxbin_1	metabat_1
k99_42755	5697	4616	48	maxbin_1	metabat_1
k99_12373	5683	4554	49	maxbin_1	metabat_1
k99_5517	5664	340	46	maxbin_2	metabat_3
k99_4432	5624	520	39	maxbin_2	metabat_2
k99_89375	5621	4583	49	maxbin_1	metabat_1
k99_40061	5609	346	38	maxbin_2	metabat_4
k99_9620	5608	336	44	maxbin_2	metabat_3
k99_117258	5606	4667	48	maxbin_1	metabat_1
k99_18103	5554	4697	46	maxbin_1	metabat_1
k99_97404	5535	4447	49	maxbin_1	metabat_1
k99_32719	5517	293	37	maxbin_2	metabat_2
k99_12501	5504	4312	47	maxbin_1	metabat_1
k99_106685	5493	4152	49	maxbin_1	metabat_1
k99_29493	5486	4577	44	maxbin_1	metabat_1
k99_124334	5440	4289	48	maxbin_1	metabat_1
k99_103656	5425	4409	47	maxbin_1	metabat_1
k99_23822	5412	210	39	maxbin_2	metabat_2
k99_57587	5409	216	43	maxbin_2	metabat_3
k99_66237	5387	4284	45	maxbin_1	metabat_1
k99_96039	5343	4562	43	maxbin_1	metabat_1
k99_37758	5326	4354	46	maxbin_1	metabat_1
k99_48617	5313	257	46	maxbin_2	metabat_3
k99_56946	5254	199	46	maxbin_2	metabat_3
k99_74348	5217	3863	49	maxbin_1	metabat_1
k99_18178	5181	4086	49	maxbin_1	metabat_1
k99_7920	5178	142	39	maxbin_2	metabat_2
k99_13971	5178	252	44	maxbin_2	metabat_3
k99_124567	5174	326	37	maxbin_2	metabat_2
k99_3583	5167	4201	48	maxbin_1	metabat_1
k99_57889	5162	371	44	maxbin_2	metabat_3
k99_91464	5142	418	37	maxbin_2	metabat_2
k99_49780	5115	4026	47	maxbin_1	metabat_1
k99_19875	5115	385	44	maxbin_2	metabat_4
k99_77465	5109	396	38	maxbin_2	metabat_2
k99_19466	5103	789	35	maxbin_2	metabat_2
k99_41955	5096	182	44	maxbin_2	metabat_3
k99_19828	5096	6136	48	maxbin_1	metabat_1
k99_11614	5095	379	37	maxbin_2	metabat_2
k99_10826	5094	305	40	maxbin_2	metabat_2
k99_120934	5090	3749	47	maxbin_1	metabat_1
k99_50111	5064	218	46	maxbin_2	metabat_3
k99_3841	5057	211	43	maxbin_2	metabat_3
k99_96514	5051	3816	50	maxbin_1	metabat_1
k99_118986	5017	4110	48	maxbin_1	metabat_unbinned
k99_20127	4967	4203	43	maxbin_1	metabat_1
k99_7732	4938	4022	46	maxbin_1	metabat_1
k99_55782	4924	177	41	maxbin_2	metabat_3
k99_70702	4903	4129	43	maxbin_1	metabat_1
k99_34886	4900	3770	48	maxbin_1	metabat_1
k99_34538	4883	282	47	maxbin_2	metabat_3
k99_53622	4877	3794	49	maxbin_1	metabat_1
k99_104043	4867	3843	46	maxbin_1	metabat_1
k99_56903	4838	4663	48	maxbin_1	metabat_1
k99_27561	4838	4702	46	maxbin_1	metabat_1
k99_64071	4831	3924	47	maxbin_1	metabat_1
k99_10594	4824	361	52	maxbin_1	metabat_unbinned
k99_40160	4802	236	43	maxbin_2	metabat_unbinned
k99_91616	4798	534	46	maxbin_1	metabat_unbinned
k99_10044	4784	240	38	maxbin_2	metabat_2
k99_81096	4776	175	36	maxbin_2	metabat_2
k99_27280	4719	3804	47	maxbin_1	metabat_1
k99_11832	4714	3491	47	maxbin_1	metabat_1
k99_21517	4711	208	44	maxbin_2	metabat_3
k99_81341	4709	3750	50	maxbin_1	metabat_1
k99_95003	4698	3749	52	maxbin_1	metabat_1
k99_26576	4688	228	38	maxbin_2	metabat_2
k99_124371	4673	181	42	maxbin_2	metabat_3
k99_97371	4647	4434	44	maxbin_1	metabat_1
k99_98160	4645	7671	44	maxbin_1	metabat_unbinned
k99_118434	4635	3741	45	maxbin_1	metabat_1
k99_100438	4619	3567	50	maxbin_1	metabat_1
k99_30555	4593	167	44	maxbin_2	metabat_3
k99_52098	4586	347	39	maxbin_2	metabat_unbinned
k99_98208	4585	3871	44	maxbin_1	metabat_1
k99_58546	4583	4113	51	maxbin_1	metabat_1
k99_5000	4578	384	36	maxbin_2	metabat_2
k99_19051	4577	3321	50	maxbin_1	metabat_1
k99_20134	4564	656	34	maxbin_2	metabat_2
k99_117638	4561	365	46	maxbin_1	metabat_3
k99_39253	4560	206	43	maxbin_2	metabat_3
k99_26819	4557	345	37	maxbin_2	metabat_2
k99_9884	4550	252	36	maxbin_2	metabat_2
k99_63363	4539	289	41	maxbin_2	metabat_4
k99_60509	4531	3677	47	maxbin_1	metabat_1
k99_87173	4528	368	50	maxbin_1	metabat_unbinned
k99_89395	4516	259	42	maxbin_2	metabat_4
k99_6499	4505	272	40	maxbin_2	metabat_2
k99_8337	4488	3661	46	maxbin_1	metabat_1
k99_7473	4488	3751	48	maxbin_1	metabat_1
k99_42124	4486	138	45	maxbin_2	metabat_3
k99_5679	4485	440	44	maxbin_2	metabat_4
k99_30653	4474	447	37	maxbin_2	metabat_unbinned
k99_6307	4467	5084	40	maxbin_1	metabat_1
k99_56252	4456	179	45	maxbin_2	metabat_3
k99_78969	4453	3495	45	maxbin_1	metabat_1
k99_21806	4450	359	38	maxbin_2	metabat_4
k99_68204	4448	3865	47	maxbin_1	metabat_1
k99_80195	4444	678	35	maxbin_2	metabat_2
k99_5685	4439	197	36	maxbin_2	metabat_2
k99_76745	4436	259	48	maxbin_2	metabat_unbinned
k99_24058	4430	194	35	maxbin_2	metabat_2
k99_63593	4414	278	38	maxbin_2	metabat_4
k99_16129	4411	199	44	maxbin_2	metabat_3
k99_82144	4408	273	37	maxbin_2	metabat_2
k99_120088	4383	224	48	maxbin_2	metabat_unbinned
k99_122032	4374	3448	48	maxbin_1	metabat_1
k99_42423	4363	270	33	maxbin_2	metabat_2
k99_38408	4363	529	37	maxbin_2	metabat_2
k99_34584	4360	3437	46	maxbin_1	metabat_1
k99_5979	4359	431	40	maxbin_2	metabat_4
k99_1290	4357	280	44	maxbin_2	metabat_4
k99_46852	4356	506	37	maxbin_2	metabat_2
k99_18361	4356	317	36	maxbin_2	metabat_2
k99_3483	4355	3533	49	maxbin_1	metabat_1
k99_7572	4352	3704	48	maxbin_1	metabat_1
k99_31790	4344	3874	41	maxbin_1	metabat_1
k99_36065	4330	3455	47	maxbin_1	metabat_1
k99_4223	4325	321	37	maxbin_2	metabat_2
k99_23890	4325	3377	49	maxbin_1	metabat_1
k99_64660	4324	235	40	maxbin_2	metabat_2
k99_39858	4315	4172	41	maxbin_1	metabat_1
k99_9451	4308	175	49	maxbin_2	metabat_unbinned
k99_29688	4302	249	43	maxbin_2	metabat_3
k99_49314	4300	3533	46	maxbin_1	metabat_1
k99_33139	4286	447	40	maxbin_2	metabat_4
k99_122218	4284	256	44	maxbin_2	metabat_3
k99_79053	4278	3486	47	maxbin_1	metabat_1
k99_32340	4276	3134	50	maxbin_1	metabat_1
k99_47303	4274	7710	49	maxbin_1	metabat_unbinned
k99_36476	4274	3393	48	maxbin_1	metabat_1
k99_2534	4273	417	37	maxbin_2	metabat_2
k99_7931	4268	151	36	maxbin_2	metabat_2
k99_37874	4263	321	43	maxbin_2	metabat_4
k99_56952	4258	3168	46	maxbin_1	metabat_1
k99_5775	4250	211	45	maxbin_2	metabat_3
k99_35286	4249	3361	48	maxbin_1	metabat_1
k99_38554	4247	3299	49	maxbin_1	metabat_1
k99_33342	4233	203	41	maxbin_2	metabat_2
k99_17787	4228	362	43	maxbin_2	metabat_4
k99_76075	4211	346	38	maxbin_2	metabat_2
k99_54383	4207	3746	46	maxbin_1	metabat_1
k99_13156	4207	808	39	maxbin_2	metabat_4
k99_22458	4195	217	44	maxbin_2	metabat_3
k99_72793	4187	273	44	maxbin_2	metabat_4
k99_61565	4175	268	44	maxbin_2	metabat_3
k99_3475	4175	136	40	maxbin_2	metabat_2
k99_20264	4169	3222	48	maxbin_1	metabat_1
k99_70130	4160	303	45	maxbin_2	metabat_4
k99_119736	4160	556	37	maxbin_2	metabat_2
k99_6287	4153	344	41	maxbin_2	metabat_4
k99_89269	4149	3600	46	maxbin_1	metabat_1
k99_83446	4149	3223	48	maxbin_1	metabat_1
k99_74971	4148	582	37	maxbin_2	metabat_2
k99_75420	4131	201	43	maxbin_2	metabat_4
k99_12389	4130	183	34	maxbin_2	metabat_2
k99_66514	4125	412	37	maxbin_2	metabat_2
k99_78294	4118	3455	46	maxbin_1	metabat_1
k99_87679	4113	176	38	maxbin_2	metabat_2
k99_97984	4105	260	38	maxbin_2	metabat_2
k99_50332	4102	3366	48	maxbin_1	metabat_1
